evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
153 -0.6323990632 0.008239 -0.007254 -0.363312 0.086920 0.291653 -0.039388 -0.366988 0.133812 0.600783 0.128149 -0.965345
154 -0.5889922299 -0.400043 -0.145580 -0.250654 0.420660 -0.501050 0.263988 0.332687 0.303913 -0.338105 -0.424137 -0.989216
155 -0.7179988850 -0.179370 -0.163305 -0.299285 0.111530 0.184149 -0.033790 -0.081342 -0.089633 -0.083438 0.037698 -0.959755
156 -0.6877840112 -0.114577 -0.021023 -0.256171 0.122661 -0.221477 0.293608 -0.171466 0.366264 0.317995 -0.078058 -1.000000
157 -0.4907255186 -0.162605 0.037497 -0.667516 0.296148 -0.188977 0.049880 -0.092196 0.191791 0.289598 0.321673 -0.821494
158 -0.6662110016 -0.131342 -0.221826 0.112060 -0.061957 0.151650 0.209939 -0.160612 0.084840 -0.055041 -0.362034 -1.000000
159 -0.6404012068 -0.082889 0.057657 -0.391023 0.486676 0.049661 -0.354694 -0.061073 0.180225 0.030378 0.079651 -1.000000
160 -0.6524839510 -0.211058 -0.241985 -0.164433 -0.252485 -0.086989 0.614513 -0.191734 0.096406 0.204179 -0.120012 -0.934193
161 -0.6869732378 -0.058611 -0.144588 -0.150319 0.223905 -0.068918 0.018094 -0.211717 -0.010330 -0.205234 -0.229904 -0.833804
162 -0.7012469653 -0.235336 -0.039741 -0.405137 0.010286 0.031591 0.241725 -0.041090 0.286961 0.439792 0.189543 -1.000000
163 -0.6415476818 -0.278085 -0.096764 -0.285051 0.299624 0.253993 0.060461 -0.110822 0.158743 -0.114730 -0.228886 -0.791552
164 -0.7338508225 -0.015861 -0.087565 -0.270405 -0.065433 -0.291321 0.199358 -0.141985 0.117888 0.349287 0.188525 -1.000000
165 -0.7189378858 -0.053502 -0.254405 -0.427384 -0.039586 0.216466 -0.092918 -0.283802 0.188156 0.059550 0.201140 -1.000000
166 -0.7185876880 -0.160231 -0.178270 -0.367331 -0.317791 -0.309326 0.116468 -0.371233 0.202622 0.144669 -0.019445 -0.883626
167 -0.5880862813 0.034362 -0.091479 -0.717142 -0.035905 -0.192979 -0.106916 -0.261264 0.357143 0.457925 0.192689 -0.799094
168 -0.7460658183 -0.191550 -0.181591 0.059098 0.008628 0.104712 0.290667 -0.060216 -0.098740 -0.040922 0.117774 -1.000000
169 -0.6548738164 0.093422 -0.032918 -0.482963 -0.284874 0.173407 -0.216549 -0.122555 -0.112556 0.239274 0.400576 -0.978488
170 -0.6525704842 -0.250609 -0.240152 -0.175082 0.257597 -0.261674 0.400300 -0.198925 0.370959 0.177730 -0.090113 -1.000000
171 -0.6597657218 -0.034524 -0.273075 -0.299211 -0.359586 -0.099277 -0.016002 -0.247986 0.567481 0.552250 0.366668 -1.000000
172 -0.6529055374 -0.122664 0.000005 -0.358833 0.332309 0.011010 0.199753 -0.073495 -0.309078 -0.135246 -0.056205 -0.975323
173 -0.6201628827 -0.066880 -0.019781 -0.134581 0.079597 0.092161 0.057112 -0.361507 -0.086596 0.120534 0.087196 -0.768839
